time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160114:0810;0.0;13.0;0.0;8.07;-9.0;0.43;0.0
20160114:0910;1.0;141.0;0.0;15.11;-8.89;0.3;0.0
20160114:1010;0.0;46.0;0.0;20.22;-8.98;0.38;0.0
20160114:1110;0.0;49.0;0.0;22.92;-9.06;0.45;0.0
20160114:1210;0.0;89.0;0.0;22.89;-9.15;0.52;0.0
20160114:1310;0.0;101.0;0.0;20.14;-9.01;0.59;0.0
20160114:1410;0.0;39.0;0.0;14.99;-8.88;0.65;0.0
20160114:1510;0.0;17.0;0.0;7.91;-8.75;0.72;0.0
20160114:1610;0.0;0.0;0.0;0.0;-9.14;0.98;0.0
20160114:1710;0.0;0.0;0.0;0.0;-9.53;1.24;0.0
20160114:1810;0.0;0.0;0.0;0.0;-9.93;1.5;0.0
20160114:1910;0.0;0.0;0.0;0.0;-9.43;1.68;0.0
20160114:2010;0.0;0.0;0.0;0.0;-8.93;1.85;0.0
20160114:2110;0.0;0.0;0.0;0.0;-8.44;2.03;0.0
20160114:2210;0.0;0.0;0.0;0.0;-8.88;2.19;0.0
20160114:2310;0.0;0.0;0.0;0.0;-9.32;2.35;0.0
20160115:0010;0.0;0.0;0.0;0.0;-9.77;2.51;0.0
20160115:0110;0.0;0.0;0.0;0.0;-9.87;2.54;0.0
20160115:0210;0.0;0.0;0.0;0.0;-9.97;2.57;0.0
20160115:0310;0.0;0.0;0.0;0.0;-10.07;2.59;0.0
20160115:0410;0.0;0.0;0.0;0.0;-10.26;2.58;0.0
20160115:0510;0.0;0.0;0.0;0.0;-10.44;2.57;0.0
20160115:0610;0.0;0.0;0.0;0.0;-10.63;2.57;0.0
20160115:0710;0.0;0.0;0.0;0.0;-10.49;2.51;0.0
20160115:0810;0.0;46.0;0.0;8.17;-10.34;2.45;0.0
20160115:0910;54.0;78.0;0.0;15.24;-10.19;2.39;0.0
20160115:1010;50.0;127.0;0.0;20.37;-9.96;2.54;0.0
